N_SQ_AR;C_AR;C_ARINSEE;L_AR;L_AROFF;N_SQ_CO;SURFACE;PERIMETRE;Latitude;Longitude
750000015;15;75115;15ème Ardt;Vaugirard;750001537;8494994,081;13678,79831;488.400.853.759;229.282.582.242
750000010;10;75110;10ème Ardt;Entrepôt;750001537;2891739,442;6739,375055;488.761.300.365;236.072.848.785
750000016;16;75116;16ème Ardt;Passy;750001537;16372542,13;17416,10966;488.603.921.054;226.197.078.836
750000009;9;75109;9ème Ardt;Opéra;750001537;2178303,275;6471,58829;488.771.635.173;233.745.754.348
750000019;19;75119;19ème Ardt;Buttes-Chaumont;750001537;6792651,129;11253,18248;488.870.759.966;238.482.096.015
750000007;7;75107;7ème Ardt;Palais-Bourbon;750001537;4090057,185;8099,424883;488.561.744.288;231.218.769.148
750000005;5;75105;5ème Ardt;Panthéon;750001537;2539374,623;6239,195396;488.444.431.505;235.071.460.958
750000006;6;75106;6ème Ardt;Luxembourg;750001537;2153095,586;6483,686786;488.491.303.586;233.289.799.905
750000012;12;75112;12ème Ardt;Reuilly;750001537;16314782,64;24089,6663;488.349.743.815;242.132.490.078
750000003;3;75103;3ème Ardt;Temple;750001537;1170882,828;4519,263648;4.886.287.238;23.600.009.859
750000002;2;75102;2ème Ardt;Bourse;750001537;991153,7447;4554,10436;488.682.792.225;234.280.254.689
750000017;17;75117;17ème Ardt;Batignolles-Monceau;750001537;5668834,504;10775,57952;48.887.326.522;230.677.699.057
750000014;14;75114;14ème Ardt;Observatoire;750001537;5614877,309;10317,48331;488.292.445.005;23.265.420.442
750000020;20;75120;20ème Ardt;Ménilmontant;750001537;5983446,037;10704,94049;488.634.605.789;240.118.812.928
750000004;4;75104;4ème Ardt;Hôtel-de-Ville;750001537;1600585,632;5420,908434;488.543.414.263;235.762.962.032
750000008;8;75108;8ème Ardt;Élysée;750001537;3880036,397;7880,533268;488.727.208.374;23.125.540.224
750000018;18;75118;18ème Ardt;Buttes-Montmartre;750001537;5996051,308;9916,464176;48.892.569.268;234.816.051.956
750000011;11;75111;11ème Ardt;Popincourt;750001537;3665441,552;8282,011886;488.590.592.213;23.800.583.082
750000013;13;75113;13ème Ardt;Gobelins;750001537;7149311,091;11546,54653;488.283.880.317;236.227.244.042
750000001;1;75101;1er Ardt;Louvre;750001537;1824612,86;6054,936862;488.625.627.018;233.644.336.205
